date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:14	115/115	---MCZ	200	added ('OK')	text/plain	date:Wed,%2004%20Jul%202018%2007:24:13%20GMT	http://symonmk.com/robots.txt		(from )
10:24:15	33143/33143	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jul%202018%2007:24:13%20GMT	http://symonmk.com/	symonmk/symonmk.com/index.html	(from )
10:24:18	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2004%20Jul%202018%2007:24:18%20GMT	http://symonmk.com/xmlrpc.php	symonmk/symonmk.com/xmlrpc.php	(from http://symonmk.com/)
10:24:22	20382/20382	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Jul%202018%2007:24:20%20GMT	http://symonmk.com/linkid.js	symonmk/symonmk.com/linkid.js	(from http://symonmk.com/)
10:24:24	8968/8968	---MC-	200	added ('OK')	application/rss+xml	etag:%2267fba5a281d6a71cac94febae8ac7f28%22	http://symonmk.com/comments/feed/	symonmk/symonmk.com/comments/feed/index.html	(from http://symonmk.com/)
10:24:24	2179/2179	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202018%2002:45:30%20GMT	http://symonmk.com/wp-content/plugins/wp-quicklatex/css/quicklatex-format.css?ver=4.9.6	symonmk/symonmk.com/wp-content/plugins/wp-quicklatex/css/quicklatex-format1845.css	(from http://symonmk.com/)
10:24:25	6359/6359	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2012:55:31%20GMT	http://symonmk.com/wp-content/themes/astrid/css/bootstrap/bootstrap.min.css?ver=1	symonmk/symonmk.com/wp-content/themes/astrid/css/bootstrap/bootstrap.min68b3.css	(from http://symonmk.com/)
10:24:28	46707/46707	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2012:55:31%20GMT	http://symonmk.com/wp-content/themes/astrid/style.css?ver=4.9.6	symonmk/symonmk.com/wp-content/themes/astrid/style1845.css	(from http://symonmk.com/)
10:24:28	119080/119080	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Mar%202018%2008:15:06%20GMT	http://symonmk.com/wp-content/uploads/2018/03/Symon-300x300.png	symonmk/symonmk.com/wp-content/uploads/2018/03/Symon-300x300.png	(from http://symonmk.com/)
10:24:28	27466/27466	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2012:55:31%20GMT	http://symonmk.com/wp-content/themes/astrid/fonts/font-awesome.min.css?ver=4.9.6	symonmk/symonmk.com/wp-content/themes/astrid/fonts/font-awesome.min1845.css	(from http://symonmk.com/)
10:24:30	66213/66213	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2009:27:16%20GMT	http://symonmk.com/wp-content/plugins/jetpack/css/jetpack.css?ver=5.9	symonmk/symonmk.com/wp-content/plugins/jetpack/css/jetpack271b.css	(from http://symonmk.com/)
10:24:32	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2003%20Aug%202017%2017:23:50%20GMT	http://symonmk.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	symonmk/symonmk.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://symonmk.com/)
10:24:32	7798/7798	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2016%20Mar%202018%2009:27:10%20GMT	http://symonmk.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min.js?ver=7.0.4	symonmk/symonmk.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min40dd.js	(from http://symonmk.com/)
